TIC_ID,RA,Dec,Teff,log(g),Rotation_Period,False_Alarm_Probability,Lomb-Scargle_Power
238437219,8.737008,26.04635,6055,5.42291,6.5083,0,73.5693
436560553,14.940055,20.63892,5460,2.05217,18.6359,0,52.5989
354530266,1.789907,30.677521,nan,nan,1.485,0,316.189
455725244,356.843929,39.299389,6228,4.65838,1.15019,0,52.5263
58104267,6.328125,32.50351,5957,4.31241,0.59621,0,303.2
191332890,9.623329,42.858482,4959,6.00299,20.5297,0,44.2363
455732799,357.269406,39.831482,6011,5.87747,9.24984,0,102.587
365965666,4.259123,35.452122,5709.78,4.35814,0.904945,0,66.6865
455757748,357.729938,41.383652,5899,5.02849,10.6101,0,91.3505
407335769,0.825951,32.845882,4408,2.3245,2.07327,0,1204.75
258943177,9.574943,40.201183,nan,nan,1.27345,0,45.8733
352791893,356.567738,40.045567,6440,4.9105,0.941203,0,43.5787
419523408,4.16428,35.15398,5968,4.31041,4.54587,0,38.1783
437761234,5.967085,29.500137,nan,nan,30.4229,0,52.1717
190997597,7.061585,43.261299,nan,nan,0.962733,0,51.3653
53795929,13.784646,29.954842,5315,4.43747,3.30961,0,447.692
14008777,14.548333,27.577011,5181,3.84349,0.522772,0,771.443
125485972,354.897191,37.927628,7117,4.15908,2.74333,0,158.144
366037063,355.803706,30.708593,5023,4.49075,1.44465,0,39.1386
432549028,0.179878,37.766251,5877.31,4.32694,3.3987,0,39.6263
440675987,8.197638,25.968435,5121,4.47461,25.1256,0,58.9731
125305900,358.792847,29.886374,4578,4.54545,0.838118,0,48.1835
194528640,4.885924,40.529259,5797,4.35642,3.79449,0,116.32
58106967,6.517358,34.792488,6427.96,4.163,0.917271,0,970.69
267886014,11.614877,34.761131,nan,nan,0.974811,0,168.75
53828140,13.916016,35.675671,nan,nan,3.2668,0,421.275
288230504,356.415249,35.165054,5693,6.02921,3.5417,0,188.728
396383077,0.95622,31.887785,5937.72,4.31591,0.638818,0,88.6042
419551450,8.452492,32.866196,6498,5.08429,41.7362,0,44.2137
440675844,8.191692,25.491131,5264.6,4.897,8.33403,0,75.2777
352407234,15.516492,40.85825,5186.61,4.69805,0.935104,0,365.068
301918882,14.96422,35.547802,5358,5.89189,7.4162,0,100.276
22525758,2.925635,34.043861,5373,4.42558,0.863185,0,67.8247
365963199,4.048252,30.53261,nan,nan,24.5158,0,54.2091
365988110,4.26585,31.556522,5953,4.31313,16.5044,0,58.3933
67951280,12.399322,41.460346,6777,4.18969,0.552813,0,707.044
58105676,6.496358,31.297001,nan,4.07124,1.6419,0,95.6695
115511142,7.416414,40.132156,6057,5.78446,2.76587,0,369.032
129644367,357.995431,25.5583,6242,4.26263,1.62082,0,60.44
331741229,2.642659,29.197332,5798.58,4.34147,1.10854,0,43.3935
417775349,12.153855,32.149761,5847,4.33251,0.650335,0,40.4297
53730567,13.15594,32.898865,5881,4.32626,0.922297,0,64.7315
402963760,15.046709,23.048206,6867,4.18068,1.42629,0,162.702
150854729,3.437091,23.3969,5699,5.23058,5.93472,0,53.7026
44522434,7.371142,31.625929,nan,nan,1.07434,0,41.9052
129634073,357.508424,27.427645,5476,4.40433,1.09294,0,39.4654
22605472,3.237002,35.607235,6745,2.90482,2.19491,0,366.482
258943905,9.473756,41.568481,5725,4.35526,4.94658,0,41.4658
15535353,15.261771,27.913782,6234,5.66996,2.47451,0,109.821
115913288,12.037043,39.173855,6359,4.24395,0.855871,0,41.8943
53794553,13.689381,33.956093,nan,nan,3.98931,0,1522.63
405562388,357.68966,32.463779,8210,4.09389,24.5158,0,149.478
407306730,359.979956,29.155109,5394,4.42125,6.00528,0,90.1224
417778636,12.225658,30.00647,6819,4.18539,2.09912,0,144.489
13960246,13.695781,29.191216,5424,5.88412,10.8378,0,126.875
194357074,2.802275,41.318649,6019,5.02428,0.953643,0,56.0246
354528959,358.340519,36.345394,5555,4.38828,1.41233,0,61.3292
57958880,4.877352,31.980637,6799,4.3812,0.614715,0,238.186
380784511,8.182641,31.752171,5786.86,4.34365,0.506519,0,104.438
436542823,13.460871,23.183516,5230,4.45442,6.86201,0,42.299
365935505,3.741529,35.794563,9211.58,4.07595,0.809245,0,69.3049
352257871,14.04846,36.042786,7178,4.15437,0.935104,0,418.151
369664610,358.351513,37.583088,nan,nan,14.8104,0,76.6875
118031166,0.993328,24.228306,5532,6.14172,20.5297,0,46.1498
306067516,3.920953,24.71052,6480,4.22609,5.76535,0,71.0274
455789088,359.928101,40.514874,5751,3.73715,1.05197,0,519.604
291728959,358.663266,36.75444,6016,4.30175,2.29463,0,123.073
365963540,4.028942,31.353836,nan,nan,12.9166,0,38.8567
267627620,9.300715,33.493942,5897,4.32334,1.14498,0,61.4753
15551561,15.283213,24.978329,4383,5.72428,22.3464,0,53.0986
396393926,1.052229,34.343254,5286,4.44333,43.535,0,64.6779
424011197,10.198655,37.265545,4994,4.49517,4.17049,0,97.4858
22568576,3.219874,35.643806,5726.75,3.81464,2.19491,0,39.0355
269823616,359.535072,26.870499,5070,4.48324,1.06304,0,69.5235
190974399,6.722878,42.835087,5187,4.46264,0.765111,0,39.2031
291754835,359.279479,41.302067,8909,4.07811,1.61564,0,205.87
437740083,2.950256,27.442728,5659,4.36785,7.10328,0,67.3338
