TIC_ID,Sector,p_r
2.862994140000000000e+08,1.600000000000000000e+01,4.353499999999999659e+01
6.332066600000000000e+07,1.500000000000000000e+01,5.000000000000000000e+01
6.332066600000000000e+07,1.600000000000000000e+01,5.000000000000000000e+01
4.110433970000000000e+08,1.600000000000000000e+01,3.459009999999999962e+01
4.110433970000000000e+08,1.700000000000000000e+01,3.459009999999999962e+01
4.110433970000000000e+08,1.800000000000000000e+01,3.459009999999999962e+01
4.110433970000000000e+08,2.400000000000000000e+01,3.459009999999999962e+01
4.105215890000000000e+08,1.600000000000000000e+01,3.459009999999999962e+01
4.105215890000000000e+08,1.700000000000000000e+01,3.459009999999999962e+01
4.105215890000000000e+08,2.400000000000000000e+01,3.459009999999999962e+01
3.707113390000000000e+08,1.600000000000000000e+01,1.152819999999999956e+00
3.707113390000000000e+08,1.700000000000000000e+01,1.152819999999999956e+00
4.279945650000000000e+08,1.600000000000000000e+01,9.601539999999999964e+00
4.558682090000000000e+08,1.700000000000000000e+01,4.549589999999999890e+01
4.558682090000000000e+08,1.800000000000000000e+01,4.549589999999999890e+01
4.558682090000000000e+08,2.400000000000000000e+01,4.549589999999999890e+01
2.497451670000000000e+08,1.600000000000000000e+01,7.583230000000000359e+00
2.497451670000000000e+08,1.700000000000000000e+01,7.583230000000000359e+00
1.935387360000000000e+08,1.400000000000000000e+01,1.699929999999999941e+00
1.935387360000000000e+08,1.500000000000000000e+01,1.699929999999999941e+00
2.770059300000000000e+08,1.400000000000000000e+01,2.635949999999999793e+00
2.770059300000000000e+08,1.500000000000000000e+01,2.635949999999999793e+00
2.770059300000000000e+08,1.600000000000000000e+01,2.635949999999999793e+00
4.672926700000000000e+08,1.500000000000000000e+01,1.051970000000000072e+00
4.672926700000000000e+08,1.600000000000000000e+01,1.051970000000000072e+00
4.672926700000000000e+08,1.700000000000000000e+01,1.051970000000000072e+00
4.672926700000000000e+08,2.400000000000000000e+01,1.051970000000000072e+00
4.222260690000000000e+08,1.600000000000000000e+01,9.131249999999999645e-01
4.222260690000000000e+08,1.700000000000000000e+01,9.131249999999999645e-01
3.521544790000000000e+08,1.400000000000000000e+01,6.862009999999999721e+00
3.521544790000000000e+08,1.500000000000000000e+01,6.862009999999999721e+00
3.521544790000000000e+08,1.600000000000000000e+01,6.862009999999999721e+00
6.323593500000000000e+07,1.500000000000000000e+01,1.783989999999999965e+00
6.323593500000000000e+07,1.600000000000000000e+01,1.783989999999999965e+00
4.210862080000000000e+08,1.600000000000000000e+01,3.855049999999999955e+01
3.954550920000000000e+08,1.600000000000000000e+01,1.495999999999999996e+00
2.981413890000000000e+08,1.600000000000000000e+01,5.000000000000000000e+01
2.981413890000000000e+08,1.700000000000000000e+01,5.000000000000000000e+01
2.981413890000000000e+08,2.400000000000000000e+01,5.000000000000000000e+01
3.381605540000000000e+08,1.600000000000000000e+01,1.573320000000000007e+01
3.381605540000000000e+08,1.700000000000000000e+01,1.573320000000000007e+01
3.381605540000000000e+08,1.800000000000000000e+01,1.573320000000000007e+01
3.381605540000000000e+08,2.400000000000000000e+01,1.573320000000000007e+01
3.653155700000000000e+08,1.500000000000000000e+01,9.342390000000000416e-01
3.653155700000000000e+08,1.600000000000000000e+01,9.342390000000000416e-01
6.408904700000000000e+07,1.500000000000000000e+01,5.000000000000000000e+01
6.408904700000000000e+07,1.600000000000000000e+01,5.000000000000000000e+01
1.904342530000000000e+08,1.500000000000000000e+01,1.276669999999999972e+00
1.904342530000000000e+08,1.600000000000000000e+01,1.276669999999999972e+00
3.262437090000000000e+08,1.600000000000000000e+01,2.450499999999999901e+00
4.271508510000000000e+08,1.600000000000000000e+01,2.052969999999999828e+01
4.271508510000000000e+08,1.700000000000000000e+01,2.052969999999999828e+01
4.271508510000000000e+08,2.400000000000000000e+01,2.052969999999999828e+01
6.477063400000000000e+07,1.500000000000000000e+01,7.525699999999999612e-01
6.477063400000000000e+07,1.600000000000000000e+01,7.525699999999999612e-01
2.402699050000000000e+08,1.500000000000000000e+01,1.876810000000000089e+00
2.402699050000000000e+08,1.600000000000000000e+01,1.876810000000000089e+00
3.720570810000000000e+08,1.600000000000000000e+01,6.545490000000000475e-01
3.720570810000000000e+08,1.700000000000000000e+01,6.545490000000000475e-01
3.720570810000000000e+08,1.800000000000000000e+01,6.545490000000000475e-01
3.720570810000000000e+08,2.400000000000000000e+01,6.545490000000000475e-01
3.674230540000000000e+08,1.700000000000000000e+01,1.087059999999999915e+00
3.674230540000000000e+08,1.800000000000000000e+01,1.087059999999999915e+00
3.674230540000000000e+08,2.400000000000000000e+01,1.087059999999999915e+00
3.263745180000000000e+08,1.600000000000000000e+01,1.580249999999999932e+00
3.263745180000000000e+08,1.700000000000000000e+01,1.580249999999999932e+00
3.146605930000000000e+08,1.500000000000000000e+01,1.152819999999999956e+00
3.146605930000000000e+08,1.600000000000000000e+01,1.152819999999999956e+00
3.146605930000000000e+08,1.700000000000000000e+01,1.152819999999999956e+00
3.654557590000000000e+08,1.600000000000000000e+01,9.222970000000000335e-01
3.654557590000000000e+08,1.700000000000000000e+01,9.222970000000000335e-01
3.163065590000000000e+08,1.600000000000000000e+01,7.633760000000000545e-01
3.163065590000000000e+08,1.700000000000000000e+01,7.633760000000000545e-01
3.163065590000000000e+08,2.400000000000000000e+01,7.633760000000000545e-01
4.198726210000000000e+08,1.500000000000000000e+01,1.023200000000000109e+00
4.198726210000000000e+08,1.600000000000000000e+01,1.023200000000000109e+00
3.522638150000000000e+08,1.400000000000000000e+01,2.642850000000000144e+00
3.522638150000000000e+08,1.500000000000000000e+01,2.642850000000000144e+00
3.522638150000000000e+08,1.600000000000000000e+01,2.642850000000000144e+00
3.526179080000000000e+08,1.500000000000000000e+01,2.060579999999999856e+00
3.526179080000000000e+08,1.600000000000000000e+01,2.060579999999999856e+00
3.526179080000000000e+08,1.700000000000000000e+01,2.060579999999999856e+00
2.791676750000000000e+08,1.500000000000000000e+01,6.782829999999999693e-01
2.791676750000000000e+08,1.600000000000000000e+01,6.782829999999999693e-01
1.855326700000000000e+08,1.400000000000000000e+01,4.549589999999999890e+01
1.855326700000000000e+08,1.500000000000000000e+01,4.549589999999999890e+01
2.563475270000000000e+08,1.600000000000000000e+01,8.692629999999999413e+00
2.563475270000000000e+08,1.700000000000000000e+01,8.692629999999999413e+00
2.563475270000000000e+08,1.800000000000000000e+01,8.692629999999999413e+00
2.563475270000000000e+08,2.400000000000000000e+01,8.692629999999999413e+00
2.564341470000000000e+08,1.600000000000000000e+01,1.214029999999999987e+01
2.564341470000000000e+08,1.700000000000000000e+01,1.214029999999999987e+01
2.564341470000000000e+08,1.800000000000000000e+01,1.214029999999999987e+01
2.564341470000000000e+08,2.400000000000000000e+01,1.214029999999999987e+01
3.879464780000000000e+08,1.500000000000000000e+01,5.260390000000000343e-01
3.879464780000000000e+08,1.600000000000000000e+01,5.260390000000000343e-01
1.996060650000000000e+08,1.600000000000000000e+01,1.027360000000000051e+00
2.957048970000000000e+08,1.400000000000000000e+01,5.174159999999999870e-01
2.957048970000000000e+08,1.500000000000000000e+01,5.174159999999999870e-01
2.957048970000000000e+08,1.600000000000000000e+01,5.174159999999999870e-01
3.459987880000000000e+08,1.500000000000000000e+01,1.394779999999999909e+00
3.459987880000000000e+08,1.600000000000000000e+01,1.394779999999999909e+00
2.974034920000000000e+08,1.500000000000000000e+01,1.179750000000000076e+00
2.974034920000000000e+08,1.600000000000000000e+01,1.179750000000000076e+00
2.903158710000000000e+08,1.400000000000000000e+01,2.279100000000000126e+00
2.903158710000000000e+08,1.500000000000000000e+01,2.279100000000000126e+00
2.903158710000000000e+08,1.600000000000000000e+01,2.279100000000000126e+00
2.974054030000000000e+08,1.500000000000000000e+01,9.545449999999999768e-01
2.974054030000000000e+08,1.600000000000000000e+01,9.545449999999999768e-01
3.303268420000000000e+08,1.500000000000000000e+01,4.764170000000000016e+01
3.303268420000000000e+08,1.600000000000000000e+01,4.764170000000000016e+01
3.265692750000000000e+08,1.600000000000000000e+01,1.242129999999999956e+00
3.265845110000000000e+08,1.600000000000000000e+01,1.022159999999999958e+00
3.565164530000000000e+08,1.500000000000000000e+01,1.158350000000000080e+01
2.773228000000000000e+08,1.500000000000000000e+01,3.713329999999999842e+01
2.773228000000000000e+08,1.600000000000000000e+01,3.713329999999999842e+01
2.773228000000000000e+08,1.700000000000000000e+01,3.713329999999999842e+01
3.444533680000000000e+08,1.500000000000000000e+01,3.855049999999999955e+01
3.444533680000000000e+08,1.600000000000000000e+01,3.855049999999999955e+01
3.151362190000000000e+08,1.500000000000000000e+01,6.356030000000000291e-01
3.151362190000000000e+08,1.600000000000000000e+01,6.356030000000000291e-01
3.151362190000000000e+08,1.700000000000000000e+01,6.356030000000000291e-01
4.296196290000000000e+08,1.500000000000000000e+01,7.256370000000000431e+00
4.296196290000000000e+08,1.600000000000000000e+01,7.256370000000000431e+00
4.296196290000000000e+08,1.700000000000000000e+01,7.256370000000000431e+00
3.058655970000000000e+08,1.500000000000000000e+01,4.549589999999999890e+01
3.058655970000000000e+08,1.600000000000000000e+01,4.549589999999999890e+01
4.060875790000000000e+08,1.400000000000000000e+01,1.146279999999999966e+00
4.060875790000000000e+08,1.500000000000000000e+01,1.146279999999999966e+00
3.356135200000000000e+08,1.600000000000000000e+01,6.737589999999999968e-01
3.356135200000000000e+08,1.700000000000000000e+01,6.737589999999999968e-01
3.356135200000000000e+08,2.400000000000000000e+01,6.737589999999999968e-01
3.645679480000000000e+08,1.500000000000000000e+01,5.386619999999999742e-01
3.645679480000000000e+08,1.600000000000000000e+01,5.386619999999999742e-01
6.250209700000000000e+07,1.500000000000000000e+01,4.549589999999999890e+01
6.250209700000000000e+07,1.600000000000000000e+01,4.549589999999999890e+01
2.761202640000000000e+08,1.600000000000000000e+01,8.291739999999999666e-01
2.761202640000000000e+08,1.700000000000000000e+01,8.291739999999999666e-01
3.353603430000000000e+08,1.600000000000000000e+01,8.858970000000000455e-01
3.353603430000000000e+08,1.700000000000000000e+01,8.858970000000000455e-01
